name,path,group
A1_15,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_15.jpg,A
B2_50,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_50.jpg,B
A1_4,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_4.jpg,A
A1_59,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_59.jpg,A
A2_55,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_55.jpg,A
B1_39,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_39.jpg,B
A1_19,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_19.jpg,A
A2_37,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_37.jpg,A
A2_3,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_3.jpg,A
A2_54,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_54.jpg,A
A1_10,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_10.jpg,A
B1_56,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_56.jpg,B
A2_103,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_103.jpg,A
B2_58,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_58.jpg,B
B2_94,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_94.jpg,B
B2_91,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_91.jpg,B
A1_69,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_69.jpg,A
B2_54,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_54.jpg,B
A2_100,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_100.jpg,A
B2_67,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_67.jpg,B
B2_51,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_51.jpg,B
B1_75,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_75.jpg,B
B2_87,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_87.jpg,B
B2_42,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_42.jpg,B
A1_28,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_28.jpg,A
A2_89,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_89.jpg,A
B2_6,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_6.jpg,B
B2_21,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_21.jpg,B
A1_90,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_90.jpg,A
A1_51,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_51.jpg,A
B1_12,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_12.jpg,B
B1_73,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_73.jpg,B
B1_70,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_70.jpg,B
B1_96,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_96.jpg,B
B1_42,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_42.jpg,B
A2_5,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_5.jpg,A
B2_77,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_77.jpg,B
B1_82,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_82.jpg,B
B2_11,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_11.jpg,B
A2_93,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_93.jpg,A
B1_77,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_77.jpg,B
A2_80,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_80.jpg,A
B2_36,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_36.jpg,B
B1_33,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_33.jpg,B
A2_36,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_36.jpg,A
A2_95,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_95.jpg,A
B2_55,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_55.jpg,B
B1_57,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_57.jpg,B
B1_32,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_32.jpg,B
A2_73,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_73.jpg,A
A2_82,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_82.jpg,A
A1_5,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_5.jpg,A
A1_33,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_33.jpg,A
A1_72,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_72.jpg,A
A2_21,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_21.jpg,A
A2_31,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_31.jpg,A
B2_65,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_65.jpg,B
A1_12,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_12.jpg,A
A2_94,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_94.jpg,A
A2_19,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_19.jpg,A
B1_0,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_0.jpg,B
B1_92,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_92.jpg,B
A1_42,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_42.jpg,A
A1_0,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_0.jpg,A
A1_39,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_39.jpg,A
B2_32,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_32.jpg,B
A1_38,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_38.jpg,A
A2_8,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_8.jpg,A
B2_81,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_81.jpg,B
A1_54,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_54.jpg,A
A2_85,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_85.jpg,A
B2_12,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_12.jpg,B
A2_44,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_44.jpg,A
A1_16,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_16.jpg,A
A2_12,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_12.jpg,A
B1_7,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_7.jpg,B
A1_45,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_45.jpg,A
B2_46,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_46.jpg,B
B1_55,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_55.jpg,B
A1_43,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_43.jpg,A
A1_48,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_48.jpg,A
A2_53,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_53.jpg,A
A2_46,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_46.jpg,A
A2_61,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_61.jpg,A
B2_4,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_4.jpg,B
A2_48,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_48.jpg,A
B2_41,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_41.jpg,B
A1_65,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_65.jpg,A
A1_92,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_92.jpg,A
B2_10,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_10.jpg,B
A1_60,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_60.jpg,A
A1_23,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_23.jpg,A
B2_14,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_14.jpg,B
A2_90,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_90.jpg,A
A1_53,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_53.jpg,A
A2_101,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_101.jpg,A
B1_6,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_6.jpg,B
B2_31,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_31.jpg,B
A2_42,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_42.jpg,A
A1_68,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_68.jpg,A
B1_21,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_21.jpg,B
A1_35,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_35.jpg,A
B1_44,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_44.jpg,B
A1_1,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_1.jpg,A
A2_92,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_92.jpg,A
A2_62,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_62.jpg,A
A1_41,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_41.jpg,A
B2_27,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_27.jpg,B
A2_43,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_43.jpg,A
A2_81,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_81.jpg,A
A1_8,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_8.jpg,A
A2_28,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_28.jpg,A
B1_66,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_66.jpg,B
B1_28,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_28.jpg,B
A1_37,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_37.jpg,A
A1_6,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_6.jpg,A
A2_45,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_45.jpg,A
B2_80,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_80.jpg,B
B1_1,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_1.jpg,B
B1_4,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_4.jpg,B
B1_103,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_103.jpg,B
B2_30,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_30.jpg,B
B1_78,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_78.jpg,B
B1_47,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_47.jpg,B
B1_35,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_35.jpg,B
A1_21,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_21.jpg,A
B1_98,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_98.jpg,B
A2_22,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_22.jpg,A
A2_9,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_9.jpg,A
B2_64,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_64.jpg,B
B2_79,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_79.jpg,B
B2_40,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_40.jpg,B
A1_58,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_58.jpg,A
B2_98,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_98.jpg,B
A2_96,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_96.jpg,A
A1_62,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_62.jpg,A
B2_47,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_47.jpg,B
A1_24,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_24.jpg,A
A1_74,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_74.jpg,A
B1_100,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_100.jpg,B
B1_50,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_50.jpg,B
A2_14,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_14.jpg,A
A1_18,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_18.jpg,A
B1_43,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_43.jpg,B
A1_76,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_76.jpg,A
B1_40,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_40.jpg,B
A1_3,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_3.jpg,A
B1_58,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_58.jpg,B
A1_36,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_36.jpg,A
A1_80,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_80.jpg,A
B2_48,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_48.jpg,B
B1_71,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_71.jpg,B
A2_91,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_91.jpg,A
B2_3,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_3.jpg,B
B2_57,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_57.jpg,B
A1_85,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_85.jpg,A
B2_82,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_82.jpg,B
A2_24,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_24.jpg,A
B1_69,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_69.jpg,B
A1_34,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_34.jpg,A
A2_6,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_6.jpg,A
B2_60,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_60.jpg,B
B1_79,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_79.jpg,B
A1_93,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_93.jpg,A
B1_107,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_107.jpg,B
A1_87,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_87.jpg,A
A2_76,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_76.jpg,A
A1_88,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_88.jpg,A
B1_38,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_38.jpg,B
B2_90,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_90.jpg,B
A1_26,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_26.jpg,A
A1_27,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_27.jpg,A
B2_25,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_25.jpg,B
A1_25,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_25.jpg,A
B1_74,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_74.jpg,B
A1_94,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_94.jpg,A
B1_41,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_41.jpg,B
B2_83,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_83.jpg,B
A1_89,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_89.jpg,A
B1_83,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_83.jpg,B
A1_91,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_91.jpg,A
B2_0,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_0.jpg,B
A1_84,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_84.jpg,A
A1_63,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_63.jpg,A
